Date,Close,High,Low,Open,Volume
2011-05-11,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-12,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-13,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-16,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-17,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-18,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-19,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-20,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-23,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-24,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-25,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-26,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-27,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-05-31,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-01,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-02,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-03,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-06,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-07,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-08,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-09,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-10,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-13,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-14,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-15,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-16,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-17,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-20,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-21,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-22,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-23,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-24,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-27,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-28,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,1.1493214826031167e+33,0
2011-06-29,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-06-30,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-01,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-05,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-06,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-07,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-08,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-11,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
